instrument_key,southbound_eligible,as_of_date,source_label
01336,true,2026-05-22,sse_southbound_eligible;szse_southbound_eligible
01339,true,2026-05-22,sse_southbound_eligible;szse_southbound_eligible
01347,true,2026-05-22,sse_southbound_eligible;szse_southbound_eligible
01349,true,2026-05-22,sse_southbound_eligible;szse_southbound_eligible
01357,true,2026-05-22,sse_southbound_eligible;szse_southbound_eligible
01359,true,2026-05-22,sse_southbound_eligible;szse_southbound_eligible
01361,true,2026-05-22,sse_southbound_eligible;szse_southbound_eligible
01364,true,2026-05-22,sse_southbound_eligible;szse_southbound_eligible
01368,true,2026-05-22,sse_southbound_eligible;szse_southbound_eligible
01375,true,2026-05-22,sse_southbound_eligible;szse_southbound_eligible
01378,true,2026-05-22,sse_southbound_eligible;szse_southbound_eligible
01384,true,2026-05-22,sse_southbound_eligible;szse_southbound_eligible
01385,true,2026-05-22,sse_southbound_eligible;szse_southbound_eligible
01398,true,2026-05-22,sse_southbound_eligible;szse_southbound_eligible
01405,true,2026-05-22,sse_southbound_eligible;szse_southbound_eligible
01415,true,2026-05-22,sse_southbound_eligible;szse_southbound_eligible
01428,true,2026-05-22,sse_southbound_eligible;szse_southbound_eligible
01448,true,2026-05-22,sse_southbound_eligible;szse_southbound_eligible
01456,true,2026-05-22,sse_southbound_eligible;szse_southbound_eligible
01475,true,2026-05-22,sse_southbound_eligible;szse_southbound_eligible
01478,true,2026-05-22,sse_southbound_eligible;szse_southbound_eligible
01513,true,2026-05-22,sse_southbound_eligible;szse_southbound_eligible
01519,true,2026-05-22,sse_southbound_eligible;szse_southbound_eligible
01528,true,2026-05-22,sse_southbound_eligible;szse_southbound_eligible
01530,true,2026-05-22,sse_southbound_eligible;szse_southbound_eligible
01548,true,2026-05-22,sse_southbound_eligible;szse_southbound_eligible
01579,true,2026-05-22,sse_southbound_eligible;szse_southbound_eligible
01585,true,2026-05-22,sse_southbound_eligible;szse_southbound_eligible
01610,true,2026-05-22,sse_southbound_eligible;szse_southbound_eligible
01618,true,2026-05-22,sse_southbound_eligible;szse_southbound_eligible
01635,true,2026-05-22,sse_southbound_eligible;szse_southbound_eligible
01658,true,2026-05-22,sse_southbound_eligible;szse_southbound_eligible
01675,true,2026-05-22,sse_southbound_eligible;szse_southbound_eligible
01681,true,2026-05-22,sse_southbound_eligible;szse_southbound_eligible
01686,true,2026-05-22,sse_southbound_eligible;szse_southbound_eligible
01691,true,2026-05-22,sse_southbound_eligible;szse_southbound_eligible
01729,true,2026-05-22,sse_southbound_eligible;szse_southbound_eligible
01735,true,2026-05-22,sse_southbound_eligible;szse_southbound_eligible
01766,true,2026-05-22,sse_southbound_eligible;szse_southbound_eligible
01772,true,2026-05-22,sse_southbound_eligible;szse_southbound_eligible
01773,true,2026-05-22,sse_southbound_eligible;szse_southbound_eligible
01776,true,2026-05-22,sse_southbound_eligible;szse_southbound_eligible
01783,true,2026-05-22,sse_southbound_eligible;szse_southbound_eligible
01787,true,2026-05-22,sse_southbound_eligible;szse_southbound_eligible
01788,true,2026-05-22,sse_southbound_eligible;szse_southbound_eligible
01789,true,2026-05-22,sse_southbound_eligible;szse_southbound_eligible
01797,true,2026-05-22,sse_southbound_eligible;szse_southbound_eligible
01800,true,2026-05-22,sse_southbound_eligible;szse_southbound_eligible
01801,true,2026-05-22,sse_southbound_eligible;szse_southbound_eligible
01810,true,2026-05-22,sse_southbound_eligible;szse_southbound_eligible
01811,true,2026-05-22,sse_southbound_eligible;szse_southbound_eligible
01816,true,2026-05-22,sse_southbound_eligible;szse_southbound_eligible
